SUMMARY______________________________,,,,,
files:,,,,,
Gdax_BTCUSD_1h_new.csv,,,,,
Gdax_ETHUSD_1h_new.csv,,,,,
predInd=2,d=1,,,,
inputs:     2,,,,,
,,,,,
trainMSE,testMSE,n,g_p,C,params
89.886918,8.011735,300,0.01,0.1,-s 3 -t 2 -g 3.333333e-05 -c 1.000000e-01
101.616913,8.662046,3,0.1,0.1,-s 3 -t 2 -g 3.333333e-02 -c 1.000000e-01
92.394198,8.244044,10,0.1,0.1,-s 3 -t 2 -g 1.000000e-02 -c 1.000000e-01
88.331723,8.191753,30,0.1,0.1,-s 3 -t 2 -g 3.333333e-03 -c 1.000000e-01
87.984118,7.909691,100,0.1,0.1,-s 3 -t 2 -g 1.000000e-03 -c 1.000000e-01
89.519865,7.965663,300,0.1,0.1,-s 3 -t 2 -g 3.333333e-04 -c 1.000000e-01
81.127265,7.153788,3,1,0.1,-s 3 -t 2 -g 3.333333e-01 -c 1.000000e-01
84.659979,7.57142,10,1,0.1,-s 3 -t 2 -g 1.000000e-01 -c 1.000000e-01
82.829438,7.808306,30,1,0.1,-s 3 -t 2 -g 3.333333e-02 -c 1.000000e-01
84.044078,7.67768,100,1,0.1,-s 3 -t 2 -g 1.000000e-02 -c 1.000000e-01
86.744164,7.863928,300,1,0.1,-s 3 -t 2 -g 3.333333e-03 -c 1.000000e-01
77.488922,7.28949,3,10,0.1,-s 3 -t 2 -g 3.333333e+00 -c 1.000000e-01
75.753257,7.537684,10,10,0.1,-s 3 -t 2 -g 1 -c 1.000000e-01
74.217474,7.804886,30,10,0.1,-s 3 -t 2 -g 3.333333e-01 -c 1.000000e-01
73.826343,7.382757,100,10,0.1,-s 3 -t 2 -g 1.000000e-01 -c 1.000000e-01
75.657499,7.961703,300,10,0.1,-s 3 -t 2 -g 3.333333e-02 -c 1.000000e-01
79.430036,7.821861,3,100,0.1,-s 3 -t 2 -g 3.333333e+01 -c 1.000000e-01
63.664605,7.475255,10,100,0.1,-s 3 -t 2 -g 10 -c 1.000000e-01
57.975971,8.300354,30,100,0.1,-s 3 -t 2 -g 3.333333e+00 -c 1.000000e-01
56.921565,8.474037,100,100,0.1,-s 3 -t 2 -g 1 -c 1.000000e-01
55.92508,8.366439,300,100,0.1,-s 3 -t 2 -g 3.333333e-01 -c 1.000000e-01
78.515875,10.464554,3,1000,0.1,-s 3 -t 2 -g 3.333333e+02 -c 1.000000e-01
59.290758,10.769069,10,1000,0.1,-s 3 -t 2 -g 100 -c 1.000000e-01
54.695157,9.489637,30,1000,0.1,-s 3 -t 2 -g 3.333333e+01 -c 1.000000e-01
