Created on 03-03-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-02-25 08-PM,ETHUSD,835.81,843.54,833,838.37,4532.0,3799044.62
2018-02-25 07-PM,ETHUSD,832.58,838.17,829.6,835.81,1541.98,1287719.25
2018-02-25 06-PM,ETHUSD,828.92,832.72,825,832.58,1561.79,1292830.12
2018-02-25 05-PM,ETHUSD,831.47,831.98,827.08,828.92,968.93,803583.82
2018-02-25 04-PM,ETHUSD,827.01,831.98,825,831.47,2164.27,1792729.28
2018-02-25 03-PM,ETHUSD,825,829.54,816.89,827.01,2023.56,1662901.55
2018-02-25 02-PM,ETHUSD,828.88,830,824.65,825,954.36,789216.87
2018-02-25 01-PM,ETHUSD,829.57,831.8,821,828.88,1798.67,1485005.8
2018-02-25 12-PM,ETHUSD,837.51,840.02,828.5,829.57,931.28,775719.96
2018-02-25 11-AM,ETHUSD,840.09,844.73,834.6,837.51,1068.11,897893.87
2018-02-25 10-AM,ETHUSD,838.3,842.24,834.99,840.09,429.14,360267.44
2018-02-25 09-AM,ETHUSD,837.12,840,833,838.3,1114.86,932683.28
2018-02-25 08-AM,ETHUSD,843.13,845.49,834.69,837.12,1209.46,1015207.01
2018-02-25 07-AM,ETHUSD,844.7,848.8,840.99,843.13,863.09,729553.39
2018-02-25 06-AM,ETHUSD,842.19,849.26,842.15,844.7,1635.5,1384638.68
2018-02-25 05-AM,ETHUSD,838.76,843.74,836.1,842.19,1398.25,1175726.69
2018-02-25 04-AM,ETHUSD,833.24,841,833.24,838.76,1602.2,1342315.56
2018-02-25 03-AM,ETHUSD,834.76,834.76,825,833.24,1335.53,1108462.28
2018-02-25 02-AM,ETHUSD,839.86,840,833.01,834.76,2452.48,2056025.73
2018-02-25 01-AM,ETHUSD,830.7,839.86,828.72,839.86,1530.3,1278445.98
2018-02-25 12-AM,ETHUSD,833.2,833.2,824.21,830.7,1390.09,1151723.67
2018-02-24 11-PM,ETHUSD,831,838,830.71,833.2,1372.27,1144560.58
2018-02-24 10-PM,ETHUSD,819.55,833.74,819,831,1480.95,1224587.38
2018-02-24 09-PM,ETHUSD,811.06,823.75,811.05,819.55,2620.53,2143168.31
2018-02-24 08-PM,ETHUSD,825,825,808.37,811.06,5187.31,4221470.36
2018-02-24 07-PM,ETHUSD,820.73,828.17,818.1,825,1845.41,1520375.18
2018-02-24 06-PM,ETHUSD,825.01,834,820,820.73,3284.56,2708891.02
2018-02-24 05-PM,ETHUSD,836.51,836.51,821.51,825.01,2808.25,2324636.34
2018-02-24 04-PM,ETHUSD,831.78,839.44,825.61,836.51,2455.26,2041050.53
2018-02-24 03-PM,ETHUSD,836.74,841.95,828.68,831.78,2257.43,1883453.37
2018-02-24 02-PM,ETHUSD,833.88,845.74,830.02,836.74,1911.63,1605195.35
2018-02-24 01-PM,ETHUSD,838.95,838.96,825.05,833.88,2445.27,2032922.43
2018-02-24 12-PM,ETHUSD,831.49,841.6,827,838.95,3540.24,2949597.48
2018-02-24 11-AM,ETHUSD,825.66,835.19,820.01,831.49,1772.38,1466556.79
2018-02-24 10-AM,ETHUSD,845.05,845.05,820.08,825.66,5978.2,4948997.84
2018-02-24 09-AM,ETHUSD,839.23,850,839.23,845.05,927.93,785133.54
2018-02-24 08-AM,ETHUSD,847.72,847.72,837.36,839.23,1058.73,891269.68
2018-02-24 07-AM,ETHUSD,850.01,850.01,836.95,847.72,3696.69,3111912.37
